iter	Passed	Remaining
241	538	1685
242	539	1680
243	541	1677
244	543	1673
245	544	1669
246	546	1665
247	548	1662
248	549	1658
249	551	1654
250	552	1650
251	554	1646
252	556	1641
253	557	1637
254	559	1634
255	561	1631
256	563	1628
257	565	1626
258	567	1623
259	568	1619
260	570	1615
261	572	1612
262	574	1608
263	575	1604
264	577	1602
265	579	1599
266	581	1596
267	582	1592
268	584	1588
269	586	1584
270	587	1581
271	589	1577
272	590	1573
273	593	1571
274	594	1568
275	596	1564
276	598	1560
277	599	1557
278	601	1554
279	602	1550
280	604	1547
281	606	1544
282	608	1541
283	610	1538
284	611	1535
285	613	1531
286	615	1528
287	616	1525
288	618	1521
289	620	1518
290	621	1515
291	623	1512
292	625	1509
293	627	1506
294	629	1503
295	630	1500
296	632	1496
297	633	1493
298	635	1489
299	637	1486
300	638	1483
301	640	1480
302	642	1477
303	643	1474
304	645	1471
305	647	1468
306	648	1464
307	650	1461
308	652	1458
309	654	1455
310	655	1453
311	657	1449
312	659	1446
313	660	1443
314	662	1440
315	663	1436
316	665	1433
317	666	1430
318	668	1427
319	670	1424
320	672	1422
321	673	1419
322	675	1415
323	677	1412
324	678	1409
325	680	1406
326	681	1403
327	683	1400
328	685	1397
329	686	1394
330	688	1391
331	690	1388
332	691	1385
333	693	1382
334	694	1379
335	696	1376
336	698	1373
337	699	1370
338	701	1368
339	703	1365
340	704	1362
341	706	1359
342	708	1356
343	709	1353
344	711	1351
345	714	1349
346	715	1347
347	717	1344
348	719	1341
349	720	1338
350	722	1335
351	723	1332
352	725	1329
353	726	1326
354	728	1323
355	730	1321
356	732	1318
357	733	1316
358	735	1313
359	737	1310
360	738	1307
361	740	1304
362	741	1301
363	743	1298
364	745	1296
365	746	1293
366	748	1291
367	750	1288
368	751	1285
369	753	1282
370	754	1279
371	756	1276
372	757	1274
373	759	1271
374	761	1269
375	763	1267
376	765	1264
377	766	1262
378	768	1259
379	770	1256
380	771	1253
381	773	1250
382	774	1248
383	776	1245
384	778	1242
385	779	1240
386	781	1237
387	783	1235
388	784	1232
389	786	1229
390	787	1226
391	789	1224
392	791	1221
393	792	1219
394	794	1216
395	795	1213
396	797	1210
397	798	1208
398	800	1206
399	802	1203
400	804	1201
401	805	1198
402	807	1196
403	809	1193
404	810	1190
405	811	1187
406	813	1185
407	814	1182
408	816	1179
409	817	1177
410	819	1174
411	821	1172
412	822	1169
413	824	1167
414	826	1164
415	827	1161
416	829	1159
417	830	1156
418	832	1154
419	833	1151
420	835	1149
421	837	1146
422	838	1144
423	840	1141
424	841	1139
425	843	1136
426	844	1133
427	846	1131
428	848	1128
429	849	1126
430	851	1123
431	852	1121
432	854	1118
433	856	1116
434	857	1113
435	859	1111
436	860	1109
437	862	1106
438	864	1104
439	866	1102
440	867	1099
441	869	1097
442	870	1095
443	872	1092
444	874	1090
445	875	1087
446	877	1085
447	878	1082
448	880	1080
449	882	1078
450	883	1075
451	885	1073
452	886	1071
453	888	1068
454	890	1066
455	892	1064
456	894	1062
457	895	1059
458	897	1058
459	899	1055
460	901	1053
461	903	1051
462	904	1049
463	906	1047
464	908	1045
465	909	1042
466	911	1040
467	913	1038
468	915	1036
469	916	1033
470	918	1031
471	920	1029
472	921	1026
473	923	1024
474	924	1021
475	926	1019
476	927	1017
477	929	1015
478	931	1012
479	932	1010
480	934	1008
481	935	1005
482	937	1003
483	939	1001
484	940	998
485	942	996
486	944	994
487	945	992
488	947	990
489	949	987
490	950	985
491	952	983
492	953	980
493	955	978
494	957	976
495	958	974
496	960	972
497	962	969
498	963	967
499	965	965
500	966	962
501	968	960
502	969	958
503	971	956
504	973	953
505	974	951
506	976	949
507	978	947
508	979	945
509	981	942
510	982	940
511	984	938
512	986	936
513	987	933
514	989	931
515	990	929
516	992	927
517	994	925
518	995	922
519	997	920
520	998	918
521	1000	915
522	1001	913
523	1003	911
524	1005	909
525	1007	907
526	1008	905
527	1010	903
528	1012	901
529	1013	899
530	1015	896
531	1017	894
532	1019	893
533	1021	891
534	1023	889
535	1025	887
536	1026	885
537	1028	883
538	1029	880
539	1031	878
540	1033	877
541	1036	875
542	1038	874
543	1040	871
544	1041	869
545	1043	867
546	1045	865
547	1046	863
548	1048	861
549	1051	860
550	1052	858
551	1054	856
552	1056	853
553	1058	851
554	1059	849
555	1061	847
556	1063	845
557	1065	844
558	1067	842
559	1069	840
560	1071	838
561	1072	835
562	1074	833
563	1076	831
564	1078	830
565	1079	828
566	1082	826
567	1083	824
568	1085	822
569	1087	820
570	1089	818
571	1090	816
572	1092	814
573	1094	812
574	1097	810
575	1098	808
576	1100	806
577	1102	804
578	1104	802
579	1105	800
580	1107	798
581	1108	796
582	1110	794
583	1112	792
584	1114	790
585	1115	788
586	1117	786
587	1119	784
588	1120	782
589	1122	779
590	1124	777
591	1125	775
592	1127	774
593	1129	772
594	1131	769
595	1132	767
596	1134	766
597	1136	764
598	1138	762
599	1140	760
600	1141	758
601	1143	756
602	1145	753
603	1146	751
604	1148	749
605	1149	747
606	1151	745
607	1152	743
608	1154	741
609	1155	739
610	1158	737
611	1159	735
612	1161	733
613	1163	731
614	1164	729
615	1166	727
616	1167	725
617	1169	722
618	1171	720
619	1172	718
620	1174	716
621	1176	714
622	1177	712
623	1179	710
624	1180	708
625	1182	706
626	1183	704
627	1185	702
628	1187	700
629	1188	698
630	1190	696
631	1192	694
632	1193	692
633	1195	689
634	1196	687
635	1198	685
636	1199	683
637	1201	681
638	1203	679
639	1204	677
640	1206	675
641	1207	673
642	1209	671
643	1211	669
644	1212	667
645	1213	665
646	1215	663
647	1217	661
648	1219	659
649	1220	657
650	1222	655
651	1223	653
652	1225	651
653	1226	649
654	1228	647
655	1230	645
656	1231	642
657	1233	641
658	1235	639
659	1236	637
660	1238	635
661	1239	632
662	1241	630
663	1242	628
664	1244	626
665	1246	624
666	1247	622
667	1249	621
668	1251	619
669	1252	617
670	1254	615
671	1256	613
672	1257	611
673	1259	609
674	1260	607
675	1262	605
676	1264	603
677	1266	601
678	1267	599
679	1269	597
680	1271	595
681	1272	593
682	1274	591
683	1275	589
684	1277	587
685	1279	585
686	1280	583
687	1282	581
688	1284	579
689	1285	577
690	1287	575
691	1289	573
692	1290	571
693	1292	569
694	1294	568
695	1296	566
696	1297	564
697	1299	562
698	1300	560
699	1302	558
700	1304	556
701	1305	554
702	1307	552
703	1309	550
704	1310	548
705	1312	546
706	1314	544
707	1315	542
708	1317	540
709	1318	538
710	1320	536
711	1321	534
712	1323	532
713	1325	530
714	1326	528
715	1328	526
716	1330	524
717	1331	523
718	1333	521
719	1334	519
720	1336	517
721	1338	515
722	1339	513
723	1341	511
724	1343	509
725	1344	507
726	1346	505
727	1348	503
728	1349	501
729	1351	499
730	1352	497
731	1354	495
732	1356	494
733	1358	492
734	1359	490
735	1361	488
736	1363	486
737	1364	484
738	1366	482
739	1367	480
740	1369	478
741	1371	476
742	1373	474
743	1374	473
744	1376	471
745	1378	469
746	1379	467
747	1381	465
748	1382	463
749	1384	461
750	1386	459
751	1388	457
752	1389	455
753	1391	453
754	1392	451
755	1394	450
756	1395	448
757	1397	446
758	1399	444
759	1400	442
760	1402	440
761	1404	438
762	1405	436
763	1407	434
764	1408	432
765	1410	430
766	1411	428
767	1413	426
768	1414	425
769	1417	423
770	1418	421
771	1420	419
772	1422	417
773	1423	415
774	1425	413
775	1426	411
776	1428	409
777	1430	408
778	1431	406
779	1433	404
780	1435	402
781	1436	400
782	1438	398
783	1440	396
784	1441	394
785	1443	392
786	1444	391
787	1446	389
788	1448	387
789	1450	385
790	1451	383
791	1453	381
792	1454	379
793	1456	377
794	1457	375
795	1459	374
796	1461	372
797	1463	370
798	1465	368
799	1466	366
800	1468	364
801	1469	362
802	1471	360
803	1473	359
804	1474	357
805	1476	355
806	1478	353
807	1479	351
808	1481	349
809	1483	347
810	1484	346
811	1486	344
812	1488	342
813	1490	340
814	1491	338
815	1493	336
816	1495	335
817	1497	333
818	1499	331
819	1500	329
820	1502	327
821	1504	325
822	1505	323
823	1507	322
824	1509	320
825	1511	318
826	1513	316
827	1514	314
828	1516	312
829	1518	310
830	1519	309
831	1521	307
832	1523	305
833	1525	303
834	1526	301
835	1528	299
836	1530	298
837	1532	296
838	1533	294
839	1535	292
840	1537	290
841	1539	288
842	1540	286
843	1542	285
844	1544	283
845	1545	281
846	1547	279
847	1549	277
848	1550	275
849	1552	273
850	1554	272
851	1556	270
852	1558	268
853	1559	266
854	1561	264
855	1563	262
856	1564	261
857	1566	259
858	1568	257
859	1570	255
860	1572	253
861	1573	251
862	1575	250
863	1577	248
864	1578	246
865	1580	244
866	1581	242
867	1583	240
868	1585	239
869	1587	237
870	1589	235
871	1590	233
872	1592	231
873	1593	229
874	1595	227
875	1597	226
876	1599	224
877	1601	222
878	1602	220
879	1604	218
880	1606	216
881	1607	215
882	1609	213
883	1610	211
884	1612	209
885	1614	207
886	1616	205
887	1618	204
888	1620	202
889	1621	200
890	1623	198
891	1625	196
892	1626	194
893	1628	193
894	1630	191
895	1632	189
896	1634	187
897	1635	185
898	1637	183
899	1639	182
900	1640	180
901	1642	178
902	1643	176
903	1645	174
904	1648	173
905	1650	171
906	1651	169
907	1653	167
908	1654	165
909	1656	163
910	1658	161
911	1659	160
912	1661	158
913	1663	156
914	1665	154
915	1667	152
916	1668	151
917	1670	149
918	1672	147
919	1673	145
920	1675	143
921	1677	141
922	1678	140
923	1680	138
924	1681	136
925	1683	134
926	1685	132
927	1686	130
928	1688	129
929	1689	127
930	1691	125
931	1693	123
932	1695	121
933	1696	119
934	1698	118
935	1699	116
936	1701	114
937	1703	112
938	1704	110
939	1706	108
940	1708	107
941	1710	105
942	1711	103
943	1713	101
944	1715	99
945	1716	98
946	1718	96
947	1720	94
948	1722	92
949	1723	90
950	1725	88
951	1727	87
952	1729	85
953	1730	83
954	1732	81
955	1733	79
956	1735	77
957	1736	76
958	1738	74
959	1740	72
960	1742	70
961	1743	68
962	1745	67
963	1747	65
964	1748	63
965	1750	61
966	1752	59
967	1754	57
968	1756	56
969	1757	54
970	1759	52
971	1761	50
972	1762	48
973	1764	47
974	1766	45
975	1768	43
976	1770	41
977	1772	39
978	1773	38
979	1775	36
980	1777	34
981	1778	32
982	1780	30
983	1782	28
984	1783	27
985	1785	25
986	1787	23
987	1789	21
988	1790	19
989	1792	18
990	1794	16
991	1795	14
992	1797	12
993	1799	10
994	1801	9
995	1802	7
996	1804	5
997	1805	3
998	1807	1
999	1809	0
